Id,Answer
494,d
495,d
496,b
497,b
498,e
499,a
500,c
501,d
502,e
503,a
504,b
505,e
506,d
507,c
508,d
509,d
510,a
511,a
512,d
513,e
514,e
515,d
516,d
517,e
518,c
519,e
520,b
521,c
522,e
523,c
524,d
525,b
526,e
527,b
528,c
529,b
530,d
531,a
532,a
533,c
534,e
535,d
536,d
537,d
538,d
539,c
540,d
541,d
542,e
543,d
544,d
545,e
546,e
547,b
548,e
549,d
550,d
551,d
552,e
553,e
554,e
555,d
556,d
557,e
558,d
559,e
560,a
561,c
562,e
563,e
564,d
565,e
566,e
567,c
568,c
569,c
570,d
571,e
572,d
573,c
574,c
575,d
576,d
577,a
578,e
579,d
580,c
581,c
582,d
583,c
584,d
585,c
586,e
587,d
588,e
589,e
590,b
591,b
592,a
593,d
594,c
595,e
596,e
597,d
598,e
599,d
600,e
601,e
602,e
603,c
604,e
605,b
606,e
607,a
608,e
609,e
610,c
611,e
612,a
613,a
614,b
615,c
616,b
617,c
618,e
619,c
620,d
621,e
622,a
623,d
624,e
625,e
626,e
627,a
628,d
629,e
630,d
631,a
632,c
633,a
634,e
635,a
636,b
637,d
638,c
639,d
640,e
641,e
642,e
643,c
644,c
645,e
646,c
647,a
648,e
649,d
650,c
651,a
652,a
653,b
654,d
655,d
656,c
657,d
658,e
659,e
660,b
661,e
662,e
663,d
664,a
665,e
666,a
667,e
668,e
669,d
670,c
671,d
672,d
673,c
674,e
675,d
676,b
677,b
678,e
679,d
680,d
681,e
682,e
683,e
684,e
685,e
686,e
687,d
688,d
689,e
690,c
691,e
692,e
693,b
694,b
695,d
696,c
697,c
698,c
699,c
700,e
701,e
702,a
703,d
704,c
705,a
706,e
707,b
708,e
709,e
710,e
711,b
712,a
713,e
714,e
715,d
716,d
717,a
718,d
719,e
720,b
721,c
722,e
723,e
724,d
725,d
726,b
727,d
728,d
729,e
730,d
731,c
732,d
733,c
734,d
735,d
736,e
737,b
738,d
739,d
740,d
741,d
742,b
743,e
744,d
745,d
746,d
747,a
748,e
749,d
750,d
751,d
752,b
753,e
754,c
755,d
756,a
757,e
758,c
759,e
760,d
761,e
762,e
763,e
764,e
765,c
766,e
767,b
768,e
769,e
770,d
771,d
772,e
773,c
774,e
775,c
776,e
777,e
778,e
779,a
780,d
781,d
782,b
783,c
784,e
785,d
786,d
787,d
788,b
789,c
790,d
791,e
792,c
793,e
794,b
795,b
796,d
797,c
798,e
799,e
800,e
801,e
802,d
803,c
804,d
805,e
806,d
807,c
808,d
809,c
810,e
811,b
812,d
813,e
814,e
815,c
816,b
817,e
818,e
819,d
820,d
821,a
822,b
823,d
824,c
825,e
826,c
827,e
828,c
829,d
830,c
831,c
832,e
833,a
834,c
835,d
836,d
837,c
838,c
839,e
840,c
841,c
842,d
843,e
844,e
845,c
846,e
847,e
848,d
849,c
850,e
851,e
852,b
853,c
854,d
855,e
856,e
857,c
858,e
859,d
860,d
861,c
862,d
863,e
864,e
865,e
866,e
867,b
868,b
869,e
870,c
871,d
872,e
873,d
874,a
875,e
876,a
877,c
878,c
879,c
880,c
881,e
882,a
883,d
884,d
885,e
886,b
887,d
888,d
889,e
890,e
891,d
892,a
893,e
894,c
895,c
896,e
897,b
898,d
899,b
900,e
901,a
902,d
903,c
904,c
905,e
906,e
907,b
908,c
909,e
910,c
911,e
912,e
913,b
914,c
915,e
916,e
917,e
918,d
919,e
920,d
921,d
922,e
923,d
924,e
925,e
926,d
927,e
928,b
929,e
930,c
931,c
932,a
933,c
934,d
935,e
936,d
937,d
938,d
939,c
940,e
941,e
942,b
943,d
944,c
945,e
946,b
947,e
948,e
949,e
950,e
951,e
952,d
953,b
954,e
955,b
956,d
957,c
958,b
959,e
960,e
961,b
962,d
963,d
964,e
965,c
966,c
967,c
968,e
969,d
970,e
971,c
972,e
973,a
974,e
975,b
976,e
977,d
978,b
979,d
980,e
981,e
982,e
983,c
984,e
985,a
986,d
987,e
988,c
989,c
990,c
991,c
992,d
993,b
994,e
995,a
996,d
997,d
998,c
999,e
1000,b
1001,b
1002,e
1003,c
1004,a
1005,e
1006,e
1007,c
1008,b
1009,e
1010,c
1011,b
1012,c
1013,c
1014,e
1015,e
1016,d
1017,e
1018,c
1019,e
1020,e
1021,d
1022,e
1023,e
1024,c
1025,c
1026,e
1027,b
1028,c
1029,c
1030,c
1031,a
1032,c
1033,e
1034,b
1035,e
1036,e
1037,c
1038,d
1039,d
1040,d
